Listado del resultado  SAM 8.0.14    Mecanismo: noname

________________________________________________________________________
Nr	Tiempo	X(9)	Y(9)	A(3)	A(8)	A(5)	A(7)
[-]	[s]	[mm]	[mm]	[deg]	[deg]	[deg]	[deg]	
   0	0.000	52.355	27.689	-160.000	-25.400	-160.000	0.000	
   1	0.028	52.306	28.264	-160.417	-24.428	-160.972	0.235	
   2	0.056	52.251	28.846	-160.833	-23.456	-161.944	0.473	
   3	0.083	52.190	29.435	-161.250	-22.483	-162.917	0.714	
   4	0.111	52.124	30.031	-161.667	-21.511	-163.889	0.959	
   5	0.139	52.052	30.633	-162.083	-20.539	-164.861	1.208	
   6	0.167	51.975	31.243	-162.500	-19.567	-165.833	1.460	
   7	0.194	51.891	31.859	-162.917	-18.594	-166.806	1.716	
   8	0.222	51.801	32.482	-163.333	-17.622	-167.778	1.975	
   9	0.250	51.705	33.112	-163.750	-16.650	-168.750	2.237	
  10	0.278	51.603	33.749	-164.167	-15.678	-169.722	2.503	
  11	0.306	51.494	34.392	-164.583	-14.706	-170.694	2.772	
  12	0.333	51.379	35.042	-165.000	-13.733	-171.667	3.044	
  13	0.361	51.256	35.697	-165.417	-12.761	-172.639	3.319	
  14	0.389	51.127	36.359	-165.833	-11.789	-173.611	3.597	
  15	0.417	50.990	37.027	-166.250	-10.817	-174.583	3.878	
  16	0.444	50.845	37.701	-166.667	-9.844	-175.556	4.162	
  17	0.472	50.692	38.380	-167.083	-8.872	-176.528	4.448	
  18	0.500	50.531	39.065	-167.500	-7.900	-177.500	4.736	
  19	0.528	50.362	39.754	-167.917	-6.928	-178.472	5.027	
  20	0.556	50.183	40.448	-168.333	-5.956	-179.444	5.319	
  21	0.583	49.996	41.146	-168.750	-4.983	-180.417	5.613	
  22	0.611	49.799	41.848	-169.167	-4.011	-181.389	5.908	
  23	0.639	49.592	42.553	-169.583	-3.039	-182.361	6.204	
  24	0.667	49.374	43.261	-170.000	-2.067	-183.333	6.501	
  25	0.694	49.146	43.972	-170.417	-1.094	-184.306	6.797	
  26	0.722	48.907	44.684	-170.833	-0.122	-185.278	7.094	
  27	0.750	48.655	45.398	-171.250	0.850	-186.250	7.391	
  28	0.778	48.392	46.112	-171.667	1.822	-187.222	7.686	
  29	0.806	48.116	46.826	-172.083	2.794	-188.194	7.980	
  30	0.833	47.827	47.540	-172.500	3.767	-189.167	8.272	
  31	0.861	47.524	48.252	-172.917	4.739	-190.139	8.562	
  32	0.889	47.206	48.962	-173.333	5.711	-191.111	8.849	
  33	0.917	46.874	49.668	-173.750	6.683	-192.083	9.132	
  34	0.944	46.526	50.370	-174.167	7.656	-193.056	9.411	
  35	0.972	46.161	51.067	-174.583	8.628	-194.028	9.686	
  36	1.000	45.779	51.757	-175.000	9.600	-195.000	9.954	
