Listado del resultado  SAM 8.0.14    Mecanismo: mecanismo_RM2_leg

________________________________________________________________________
Nr	Tiempo	X(8)	Y(8)	A(7)	A(5)	A(3)	A(4)
[-]	[s]	[mm]	[mm]	[deg]	[deg]	[deg]	[deg]	
   0	0.000	55.423	17.938	0.000	-150.000	-30.000	-150.000	
   1	0.028	55.343	18.649	0.352	-150.417	-28.611	-151.389	
   2	0.056	55.261	19.373	0.713	-150.833	-27.222	-152.778	
   3	0.083	55.176	20.110	1.082	-151.250	-25.833	-154.167	
   4	0.111	55.088	20.861	1.461	-151.667	-24.444	-155.556	
   5	0.139	54.996	21.627	1.850	-152.083	-23.056	-156.944	
   6	0.167	54.900	22.407	2.248	-152.500	-21.667	-158.333	
   7	0.194	54.799	23.202	2.656	-152.917	-20.278	-159.722	
   8	0.222	54.693	24.012	3.074	-153.333	-18.889	-161.111	
   9	0.250	54.582	24.837	3.502	-153.750	-17.500	-162.500	
  10	0.278	54.464	25.678	3.940	-154.167	-16.111	-163.889	
  11	0.306	54.341	26.534	4.389	-154.583	-14.722	-165.278	
  12	0.333	54.210	27.406	4.848	-155.000	-13.333	-166.667	
  13	0.361	54.072	28.293	5.318	-155.417	-11.944	-168.056	
  14	0.389	53.927	29.195	5.798	-155.833	-10.556	-169.444	
  15	0.417	53.772	30.112	6.288	-156.250	-9.167	-170.833	
  16	0.444	53.609	31.045	6.788	-156.667	-7.778	-172.222	
  17	0.472	53.436	31.992	7.298	-157.083	-6.389	-173.611	
  18	0.500	53.252	32.952	7.817	-157.500	-5.000	-175.000	
  19	0.528	53.057	33.927	8.346	-157.917	-3.611	-176.389	
  20	0.556	52.851	34.914	8.882	-158.333	-2.222	-177.778	
  21	0.583	52.632	35.913	9.427	-158.750	-0.833	-179.167	
  22	0.611	52.399	36.923	9.978	-159.167	0.556	-180.556	
  23	0.639	52.152	37.944	10.536	-159.583	1.944	-181.944	
  24	0.667	51.889	38.973	11.099	-160.000	3.333	-183.333	
  25	0.694	51.611	40.010	11.667	-160.417	4.722	-184.722	
  26	0.722	51.314	41.054	12.237	-160.833	6.111	-186.111	
  27	0.750	50.999	42.102	12.809	-161.250	7.500	-187.500	
  28	0.778	50.665	43.154	13.382	-161.667	8.889	-188.889	
  29	0.806	50.308	44.206	13.953	-162.083	10.278	-190.278	
  30	0.833	49.929	45.258	14.520	-162.500	11.667	-191.667	
  31	0.861	49.526	46.307	15.082	-162.917	13.056	-193.056	
  32	0.889	49.096	47.350	15.636	-163.333	14.444	-194.444	
  33	0.917	48.638	48.385	16.181	-163.750	15.833	-195.833	
  34	0.944	48.149	49.409	16.712	-164.167	17.222	-197.222	
  35	0.972	47.628	50.418	17.228	-164.583	18.611	-198.611	
  36	1.000	47.072	51.410	17.724	-165.000	20.000	-200.000	
